Word/Idiom,Meaning,Episode,Memory Palace,Part of Speech,Verb (if relevant)
tú,"tú: ""you"", subject pronoun",17,,"Pronoun, Subject",
yo,"yo: ""I"", subject pronoun",17,,"Pronoun, Subject",
amiga,"amiga: ""friend"", feminine noun",18,,"Noun, Noun",
amigo,"amigo: ""friend"", masculine noun",18,,"Noun, Noun",
chica,"chica: ""girl""/""gal"", feminine noun",18,,"Noun, Noun",
chico,"chico: ""boy""/""guy"", masculine noun",18,,"Noun, Noun",
era,"era: ""was"", ""he/she/it was"" (Ser, imperfect, 3rd person)",18,,"Verb, Verb",Ser
era,"era: ""was"", ""I was"" (Ser, imperfect, 1st person)",18,,"Verb, Verb",Ser
éramos,"éramos: ""were"", ""we were"" (Ser, imperfect, 1st person plural)",18,,"Verb, Verb",Ser
eran,"eran: ""were"", ""they were"" (Ser, imperfect, 3rd person plural)",18,,"Verb, Verb",Ser
eras,"eras: ""were"", ""you were"" (Ser, imperfect, 2nd person)",18,,"Verb, Verb",Ser
para,"para: ""in order"", ""in order to"" before an infinitive",19,,"Preposition, Preposition",
lo,"lo: ""that way"", ""like that"", constructed like a direct object (esp with Ser and Estar)",19,,"Pronoun, Attribute",
usted,"usted: ""you"", formal subject pronoun, taking 3rd-person treatment",21,,"Pronoun, Subject",
aquí,"aquí: ""here"", adverb",22,,"Adverb, Place, here/there",
está,"está: ""is"", ""he/she/it is"" (Estar, present, 3rd person)",22,,"Verb, Verb",Estar
estamos,"estamos: ""are"", ""we are"" (Estar, present, 1st person plural)",22,,"Verb, Verb",Estar
están,"están: ""are"", ""they are"" (Estar, present, 3rd person plural)",22,,"Verb, Verb",Estar
estar,"estar: ""to be"" / ""being"", infinitive",22,,"Verb, Verb",Estar
estás,"estás: ""are"", ""you are"" (Estar, present, 2nd person)",22,,"Verb, Verb",Estar
estoy,"estoy: ""am"", ""I am"" (Estar, present, 1st person)",22,,"Verb, Verb",Estar
casa,"casa: ""house""/""home"", feminine noun",23,,"Noun, Noun",
casas,"casas: ""houses"", feminine plural noun",23,,"Noun, Noun",
lugar,"lugar: ""place"", masculine noun",23,,"Noun, Noun",
estaba,"estaba: ""was"", ""I was"" (Estar, imperfect, 1st person)",23,,"Verb, Verb",Estar
estaba,"estaba: ""was"", ""he/she/it was"" (Estar, imperfect, 3rd person)",23,,"Verb, Verb",Estar
estábamos,"estábamos: ""were"", ""we were"" (Estar, imperfect, 1st person plural)",23,,"Verb, Verb",Estar
estaban,"estaban: ""were"", ""they were"" (Estar, imperfect, 3rd person plural)",23,,"Verb, Verb",Estar
estabas,"estabas: ""were"", ""you were"" (Estar, imperfect, 2nd person)",23,,"Verb, Verb",Estar
esté,"esté: ""be"", ""he/she/it be"" (Estar, subjunctive, 3rd person)",26,,"Verb, Verb",Estar
esté,"estés: ""be"", ""I be"" (Estar, subjunctive, 1st person)",26,,"Verb, Verb",Estar
estemos,"estemos: ""be"", ""we be"" (Estar, subjunctive, 1st person plural)",26,,"Verb, Verb",Estar
estén,"estén: ""be"", ""they be"" (Estar, subjunctive, 3rd person plural)",26,,"Verb, Verb",Estar
estés,"estés: ""be"", ""you be"" (Estar, subjunctive, 2nd person)",26,,"Verb, Verb",Estar
sea,"sea: ""be"", ""he/she/it be"" (Ser, subjunctive, 3rd person)",26,,"Verb, Verb",Ser
sea,"sea: ""be"", ""I be"" (Ser, subjunctive, 1st person)",26,,"Verb, Verb",Ser
seamos,"seamos: ""be"", ""we be"" (Ser, subjunctive, 1st person plural)",26,,"Verb, Verb",Ser
sean,"sean: ""be"", ""they be"" (Ser, subjunctive, 3rd person plural)",26,,"Verb, Verb",Ser
seas,"seas: ""be"", ""you be"" (Ser, subjunctive, 2nd person)",26,,"Verb, Verb",Ser
o,"o: ""or"" when used between two clauses",28,,"Conjunction, Coordinating",
pero,"pero: ""but""",28,,"Conjunction, Coordinating",
o,"o: ""or"" when used between items in a list",28,,"Conjunction, List",
si,"si: ""if"" or ""whether""",28,,"Conjunction, Subordinating, normal",
cuando,"cuando: ""when"" (sometimes followed by a subjunctive)",28,,"Conjunction, Subordinating, potential subjunctive",
mi,"mi: ""my"" with singular nouns",28,,"Pronoun, Possessive",
mis,"mis: ""my"" with plural nouns",28,,"Pronoun, Possessive",
nuestro,"nuestro: ""our"" or ""ours""",28,,"Pronoun, Possessive",
su,"su: ""his""/""her""/""their"" with singular nouns",28,,"Pronoun, Possessive",
sus,"sus: ""his""/""her""/""their"" with plural nouns",28,,"Pronoun, Possessive",
tu,"tu: ""your"" with singular nouns",28,,"Pronoun, Possessive",
tus,"tus: ""your"" with plural nouns",28,,"Pronoun, Possessive",
buen,"buen: ""good"" (bueno) right before a masculine noun",29,,"Adjective, Ser, positive/negative",
buena,"buena: ""good"" with feminine nouns",29,,"Adjective, Ser, positive/negative",
bueno,"bueno: ""good""",29,,"Adjective, Ser, positive/negative",
bien,"bien: adverb meaning ""well"", ""fine"", and a variety of other positive things",29,,"Adverb, Manner, positive/negative",
lo,"lo: ""the"" with no noun, as in ""lo bueno""",29,,"Article, Definite",
lo que,"lo que: ""what"" as a connector between phrases",29,,"Cluster, Conjunction cluster",
el que,"el que, meaning ""the one that""",29,,"Cluster, Idiom",
la que,"la que: ""the one that""",29,,"Cluster, Idiom",
lo bueno,"lo bueno: idiom meaning ""the good"" or ""the good thing"", with no noun",29,,"Cluster, Idiom",
qué,"qué in an implied question, not an actual question",29,,"Pronoun, Interrogative",
estuve,"estuve: ""was"", ""I was"" (Estar, preterite, 1st person)",31,,"Verb, Verb",Estar
estuvo,"estuvo: ""was"", ""he/she/it was"" (Estar, preterite, 3rd person)",31,,"Verb, Verb",Estar
será,"será: ""will be"", ""he/she/it will be"" (Ser, future, 3rd person)",32,,"Verb, Verb",Ser
sería,"sería: ""would be"", ""he/she/it would be"" (Ser, conditional, 3rd person)",32,,"Verb, Verb",Ser
sería,"sería: ""would be"", ""I would be"" (Ser, conditional, 1st person)",32,,"Verb, Verb",Ser
seríamos,"seríamos: ""would be"", ""we would be"" (Ser, conditional, 1st person plural)",32,,"Verb, Verb",Ser
serían,"serían: ""would be"", ""they would be"" (Ser, conditional, 3rd person plural)",32,,"Verb, Verb",Ser
serías,"serías: ""would be"", ""you would be"" (Ser, conditional, 2nd person)",32,,"Verb, Verb",Ser
sido,"sido: ""been"" (Ser, participle)",32,,"Verb, Verb",Ser
siendo,"siendo: ""being"" (Ser, gerund)",32,,"Verb, Verb",Ser
estado,"estado: ""been"" (Estar, participle)",33,,"Verb, Verb",Estar
estando,"estando: ""being"" (Estar, gerund)",33,,"Verb, Verb",Estar
estará,"estará: ""will be"", ""he/she/it will be"" (Estar, future, 3rd person)",33,,"Verb, Verb",Estar
estarán,"estarán: ""will be"", ""they will be"" (Estar, future, 3rd person plural)",33,,"Verb, Verb",Estar
estarás,"estarás: ""will be"", ""you will be"" (Estar, future, 2nd person)",33,,"Verb, Verb",Estar
estaré,"estaré: ""will be"", ""I will be"" (Estar, future, 1st person)",33,,"Verb, Verb",Estar
estaremos,"estaremos: ""will be"", ""we will be"" (Estar, future, 1st person plural)",33,,"Verb, Verb",Estar
estaría,"estaría: ""would be"", ""he/she/it would be"" (Estar, conditional, 3rd person)",33,,"Verb, Verb",Estar
estaría,"estaría: ""would be"", ""I would be"" (Estar, conditional, 1st person)",33,,"Verb, Verb",Estar
estaríamos,"estaríamos: ""would be"", ""we would be"" (Estar, conditional, 1st person plural)",33,,"Verb, Verb",Estar
estarían,"estarían: ""would be"", ""they would be"" (Estar, conditional, 3rd person plural)",33,,"Verb, Verb",Estar
estarías,"estarías: ""would be"", ""you would be"" (Estar, conditional, 2nd person)",33,,"Verb, Verb",Estar
serán,"serán: ""will be"", ""they will be"" (Ser, future, 3rd person plural)",33,,"Verb, Verb",Ser
serás,"serás: ""will be"", ""you will be"" (Ser, future, 2nd person)",33,,"Verb, Verb",Ser
seré,"seré: ""will be"", ""I will be"" (Ser, future, 1st person)",33,,"Verb, Verb",Ser
seremos,"seremos: ""will be"", ""we will be"" (Ser, future, 1st person plural)",33,,"Verb, Verb",Ser
cosa,"cosa: ""thing"" (fem. noun)",34,,"Noun, Noun",
cosas,"cosas: ""things"" (fem. pl. noun)",34,,"Noun, Noun",
día,"día: ""day"" (masc. noun)",34,,"Noun, Noun",
días,"días: ""days"" (masc. pl. noun)",34,,"Noun, Noun",
esa,"esa: ""that"", ""that one"" (fem. dem. pronoun)",34,,"Pronoun, Demonstrative",
esa,"esa: ""that..."" before a feminine noun",34,,"Pronoun, Demonstrative",
ese,"ese: ""that"", ""that one"" (masc. dem. pronoun)",34,,"Pronoun, Demonstrative",
ese,"ese: ""that..."" before a masculine noun",34,,"Pronoun, Demonstrative",
esta,"esta: ""this..."" before a feminine noun",34,,"Pronoun, Demonstrative",
esta,"esta: ""this"", ""this one"" (fem. dem. pronoun)",34,,"Pronoun, Demonstrative",
este,"este: ""this"", ""this one"" (masc. dem. pronoun)",34,,"Pronoun, Demonstrative",
este,"este: ""this..."" before a masculine noun",34,,"Pronoun, Demonstrative",
esto,"esto: ""this"", neuter (without a gendered noun)",34,,"Pronoun, Demonstrative",
al,"al: ""to the"" before a masculine noun",35,,"Preposition, Preposition",
del,"del: ""of the"" before a masculine noun",35,,"Preposition, Preposition",
tiempo,"tiempo: ""time"", as in the passing of time (masc. noun)",36,,"Noun, Noun",
vez,"vez: ""time"", as in one instance/event (fem. noun)",36,,"Noun, Noun",
ha,"ha: ""has"", ""he/she/it has"" before a participle (Haber, present, 3rd person)",36,,"Verb, Verb",Haber
haber,"haber: ""to have"", ""having"" before a participle (Haber, infinitive)",36,,"Verb, Verb",Haber
han,"han: ""have"", ""they have"" before a participle (Haber, present, 3rd person plural)",36,,"Verb, Verb",Haber
has,"has: ""have"", ""you have"" before a participle (Haber, present, 2nd person)",36,,"Verb, Verb",Haber
he,"ha: ""have"", ""I have"" before a participle (Haber, present, 1st person)",36,,"Verb, Verb",Haber
hemos,"hemos: ""have"", ""we have"" before a participle (Haber, present, 1st person plural)",36,,"Verb, Verb",Haber
nos,"nos: ""us"" as a direct object",37,,"Pronoun, Direct Object",
algo,"algo: ""something"" (pronoun)",37,,"Pronoun, Indefinite",
alguien,"alguien: ""somebody"" (pronoun)",37,,"Pronoun, Indefinite",
nada,"nada: ""nothing"" (pronoun)",37,,"Pronoun, Indefinite",
nadie,"nadie: ""nobody"" (pronoun)",37,,"Pronoun, Indefinite",
le,"le: ""her/him"" as an indirect object (""to her/him"", ""for her/him"")",37,,"Pronoun, Indirect Object",
les,"les: ""them"" as an indirect object (""to them"", ""for them"")",37,,"Pronoun, Indirect Object",
me,"me: ""me"" as an indirect object (""to me"", ""for me"")",37,,"Pronoun, Indirect Object",
nos,"nos: ""us"" as an indirect object (""to us"", ""for us"")",37,,"Pronoun, Indirect Object",
te,"te: ""you"" as an indirect object (""to you"", ""for you"")",37,,"Pronoun, Indirect Object",
todo,"todo/toda: ""everything"" or ""all"" (pronoun)",37,,"Pronoun, Quantifier",
todos,"todos/todas: ""everybody"" or ""all"" (pronoun)",37,,"Pronoun, Quantifier",
por favor,"por favor: ""please"" (idiom)",38,,"Cluster, Idiom",
favor,"favor: ""favor"" (masc. noun)",38,,"Noun, Noun",
hacer,"hacer: ""to do/make"", ""doing/making"" (Hacer, infinitive)",38,,"Verb, Verb",Hacer
haciendo,"haciendo: ""doing/making"" (Hacer, gerund)",38,,"Verb, Verb",Hacer
hecho,"hecho: ""done/made"" (Hacer, participle)",38,,"Verb, Verb",Hacer
más,"más: ""more"", ""most"", ""else"" (adjective)",39,,"Adjective, Ser, comparative",
más,"más: ""more"" (adverb)",39,,"Adverb, Quantity (amount/degree)",
muy,"muy: ""very"" (adverb)",39,,"Adverb, Quantity (amount/degree)",
ahora,"ahora: ""now"", ""right now"" (adverb)",39,,"Adverb, Time, days",
ya,"ya: adverb meaning ""anymore"", ""already"", and a variety of other time-related things",39,,"Adverb, Time, general",
sí,"sí: adverb meaning ""indeed"" or otherwise providing positive emphasis",39,,"Adverb, Whether (formerly ""boolean"")",
no,"no: ""no"" (interjection)",39,,"Interjection, Informational",
sí,"sí: ""yes"" (interjection)",39,,"Interjection, Informational",
conmigo,"conmigo: ""with me"" (prepositional contraction)",40,,"Pronoun, Prepositional",
contigo,"contigo: ""with you"" (prepositional contraction)",40,,"Pronoun, Prepositional",
él,"él: ""him"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
ella,"ella: ""her"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
ellas,"ella: ""them"" after a preposition (fem. prep. pronoun)",40,,"Pronoun, Prepositional",
ellos,"ellos: ""them"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
mí,"mí: ""me"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
nosotros,"nosotros: ""us"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
ti,"ti: ""you"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
usted,"usted: formal ""you"" after a preposition (prep. pronoun)",40,,"Pronoun, Prepositional",
habías,"habías: ""had"", ""you had"" before a participle (Haber, imperfect, 2nd person)",41,,"Verb, Verb",Haber
habían,"habían: ""had"", ""they had"" before a participle (Haber, imperfect, 3rd person plural)",41,,"Verb, Verb",Haber
habíamos,"habíamos: ""had"", ""we had"" before a participle (Haber, imperfect, 1st person plural)",41,,"Verb, Verb",Haber
habrá,"habrá: ""will have"", ""he/she/it will have"" before a participle (Haber, future, 3rd person)",41,,"Verb, Verb",Haber
había,"había: ""had"", ""I had"" before a participle (Haber, imperfect, 1st person)",41,,"Verb, Verb",Haber
había,"había: ""had"", ""he/she/it had"" before a participle (Haber, imperfect, 3rd person)",41,,"Verb, Verb",Haber
yendo,"yendo: ""going"" (Ir, gerund)",42,,"Verb, Verb",Ir
ido,"ido: ""gone"" (Ir, participle)",42,,"Verb, Verb",Ir
ir,"ir: ""to go"", ""going"" (Ir, infinitive)",42,,"Verb, Verb",Ir
vamos,"vamos: ""go"", ""we go"" (Ir, present, 1st person plural)",42,,"Verb, Verb",Ir
van,"van: ""go"", ""they go"" (Ir, present, 3rd person plural)",42,,"Verb, Verb",Ir
vas,"vas: ""go"", ""you go"" (Ir, present, 2nd person)",42,,"Verb, Verb",Ir
va,"va: ""goes"", ""he/she/it goes"" (Ir, present, 3rd person)",42,,"Verb, Verb",Ir
voy,"voy: ""go"", ""I go"" (Ir, present, 1st person)",42,,"Verb, Verb",Ir
ustedes,"ustedes: ""you"" plural, subject pronoun (3rd-person plural treatment)",42,,"Pronoun, Subject",
ustedes,"ustedes: plural ""you"" after a preposition (prep. pronoun)",42,,"Pronoun, Prepositional",
como,"como: ""as"" (preposition)",43,,"Preposition, Preposition",
como,"como: conjunction meaning ""as""/""like"" (as in ""como yo"")",43,,"Conjunction, Comparative",
como,"como: adverb meaning ""as""/""like""/""how""",43,,"Adverb, Manner, other",
mal,"mal: ""badly""/""poorly"" (adverb)",43,,"Adverb, Manner, positive/negative",
así,"así: adverb meaning ""this way"", ""that way"", ""like this"", ""like that""",43,,"Adverb, Manner, other",
iban,"iban: ""were going"", ""they were going"" (Ir, imperfect, 3rd person plural)",43,,"Verb, Verb",Ir
íbamos,"íbamos: ""were going"", ""we were going"" (Ir, imperfect, 1st person plural)",43,,"Verb, Verb",Ir
ibas,"ibas: ""were going"", ""you were going"" (Ir, imperfect, 2nd person)",43,,"Verb, Verb",Ir
iba,"iba: ""was going"", ""I was going"" (Ir, imperfect, 1st person)",43,,"Verb, Verb",Ir
iba,"iba: ""was going"", ""he/she/it was going"" (Ir, imperfect, 3rd person)",43,,"Verb, Verb",Ir
a,"using Ir and ""a"" to put verbs in the future (e.g. ""voy a ser"")",43,,"Preposition, Preposition",
iremos,"iremos: ""will go"", ""we will go"" (Ir, future, 1st person plural)",44,,"Verb, Verb",Ir
irás,"irás: ""will go"", ""you will go"" (Ir, future, 2nd person)",44,,"Verb, Verb",Ir
irán,"irán: ""will go"", ""they will go"" (Ir, future, 3rd person plural)",44,,"Verb, Verb",Ir
iré,"iré: ""will go"", ""I will go"" (Ir, future, 1st person)",44,,"Verb, Verb",Ir
irá,"irá: ""will go"", ""he/she/it will go"" (Ir, future, 3rd person)",44,,"Verb, Verb",Ir
vayas,"vayas: ""go"", ""you go"" (Ir, subjunctive, 2nd person)",44,,"Verb, Verb",Ir
vayan,"vayan: ""go"", ""they go"" (Ir, subjunctive, 3rd person plural)",44,,"Verb, Verb",Ir
vayamos,"vayamos: ""go"", ""we go"" (Ir, subjunctive, 1st person plural)",44,,"Verb, Verb",Ir
vaya,"vaya: ""go"", ""I go"" (Ir, subjunctive, 1st person)",44,,"Verb, Verb",Ir
vaya,"vaya: ""go"", ""he/she/it go"" (Ir, subjunctive, 3rd person)",44,,"Verb, Verb",Ir
fueron,"fueron: ""went"", ""they went"" (Ir, preterite, 3rd person plural)",44,,"Verb, Verb",Ir
fue,"fue: ""went"", ""he/she/it went"" (Ir, preterite, 3rd person)",44,,"Verb, Verb",Ir
fuiste,"fuiste: ""went"", ""you went"" (Ir, preterite, 2nd person)",44,,"Verb, Verb",Ir
fuimos,"fuimos: ""went"", ""we went"" (Ir, preterite, 1st person plural)",44,,"Verb, Verb",Ir
fui,"fui: ""went"", ""I went"" (Ir, preterite, 1st person)",44,,"Verb, Verb",Ir
irse,"irse: any use of Ir with a reflexive pronoun, changing the meaning to ""leave""",46,,"Other structure, Pronominal structure",
me,"me: ""myself"", reflexive pronoun",46,,"Pronoun, Reflexive",
nos,"nos: ""ourselves"", reflexive pronoun",46,,"Pronoun, Reflexive",
se,"se: ""himself/herself/themselves"", reflexive pronoun",46,,"Pronoun, Reflexive",
te,"te: ""yourself"", reflexive pronoun",46,,"Pronoun, Reflexive",
por si,"por si: idiom meaning ""in case""",47,,"Cluster, Conjunction cluster",
de verdad,"de verdad: idiom meaning ""really""",47,,"Cluster, Idiom",
en verdad,"en verdad: idiom meaning ""actually""",47,,"Cluster, Idiom",
estar por,"the use of ""por"" after Estar to mean ""about to""",47,,"Cluster, Idiom",
año,"año: ""year"", masc. noun",47,,"Noun, Noun",
hombre,"hombre: ""man"", masc. noun",47,,"Noun, Noun",
mujer,"mujer: ""woman"", fem. noun",47,,"Noun, Noun",
noche,"noche: ""night""/""evening"", fem. noun",47,,"Noun, Noun",
señor,"señor: ""sir""/""mr.""/""gentleman"", masc. noun",47,,"Noun, Noun",
señora,"señora: ""mrs.""/""ma'am"", fem. noun",47,,"Noun, Noun",
señorita,"señora: ""miss""/""ma'am"", fem. noun",47,,"Noun, Noun",
tarde,"tarde: ""afternoon"", fem. noun",47,,"Noun, Noun",
verdad,"verdad: ""truth"", fem. noun",47,,"Noun, Noun",
vida,"vida: ""life"", fem. noun",47,,"Noun, Noun",
buen día,"buen día: ""good morning"", idiom",48,,"Cluster, Idiom",
buenas noches,"buenas noches: ""good evening/night"", idiom",48,,"Cluster, Idiom",
buenas tardes,"buenas tardes: ""good afternoon"", idiom",48,,"Cluster, Idiom",
buenos días,"buenos días: ""good morning"", idiom",48,,"Cluster, Idiom",
de nada,"de nada: ""you're welcome"", idiom",48,,"Cluster, Idiom",
hola,"hola: ""hello""/""hi"" (interjection)",48,,"Interjection, Greetings",
gracias,"gracias: idiom meaning ""thanks"" or ""thank you""",48,,"Interjection, Informational",
haber,"haber: ""there to be"" indicating existence (Haber, infinitive)",48,,"Verb, Verb",Haber
había,"había: ""there was/were"" indicating existence (Haber, imperfect, impersonal)",48,,"Verb, Verb",Haber
habrá,"habrá: ""there will be"" indicating existence (Haber, future, impersonal)",48,,"Verb, Verb",Haber
hay,"hay: ""there is/are"" indicating existence (Haber, present, impersonal)",48,,"Verb, Verb",Haber
cómo,"cómo: adverb meaning ""how?"" in a question or implied question",49,,"Adverb, Manner, other",
mejor,"mejor: ""better"" (adverb)",49,,"Adverb, Manner, positive/negative",
dónde,"dónde: adverb meaning ""where?"" in a question or implied question",49,,"Adverb, Place, general",
ahí,"ahí: adverb meaning ""there"", especially when close to the speaker or listener",49,,"Adverb, Place, here/there",
cuánto,"cuánto: adverb meaning ""how much?"" in a question or implied question",49,,"Adverb, Quantity (amount/degree)",
mucho,"mucho: ""much"", ""a lot"" (adverb)",49,,"Adverb, Quantity (amount/degree)",
solo,"solo: ""only""/""just"" (adverb)",49,,"Adverb, Quantity (amount/degree)",
tan,"tan: ""so"" as an adverb right before an adjective or adverb",49,,"Adverb, Quantity (amount/degree)",
cuándo,"cuándo: adverb meaning ""when?"" in a question or implied question",49,,"Adverb, Time, general",
nunca,"nunca: ""never"" (adverb)",49,,"Adverb, Time, general",
siempre,"siempre: ""always"" (adverb)",49,,"Adverb, Time, general",
sólo,"sólo: ""only""/""just"" (adverb)",49,,"Adverb, Whether (formerly ""boolean"")",
a tiempo,"a tiempo: ""on time"" (idiom)",49,,"Cluster, Idiom",
ya que,"ya que: idiom meaning ""since"" in a logical sense",50,,"Cluster, Conjunction cluster",
todo bien,"todo bien: ""all good/well"" (idiom)",50,,"Cluster, Idiom",
ya está,"ya está: idiom meaning ""it's done"", ""all done"", etc.",50,,"Cluster, Idiom",
al,"al: ""upon"" or ""when"" before an infinitive",50,,"Preposition, Preposition",
por,"por: ""on behalf of"" (preposition)",50,,"Preposition, Preposition",
tenemos,"tenemos: ""have"", ""we have"" (Tener, present, 1st person plural)",51,,"Verb, Verb",Tener
tener,"tener: ""to have"" (infinitive)",51,,"Verb, Verb",Tener
tengo,"tengo: ""have"", ""I have"" (Tener, present, 1st person)",51,,"Verb, Verb",Tener
tenido,"tenido: ""had"" (Tener participle)",51,,"Verb, Verb",Tener
tiene,"tiene: ""has"", ""he/she/it has"" (Tener, present, 3rd person)",51,,"Verb, Verb",Tener
tienen,"tienen: ""have"", ""they have"" (Tener, present, 3rd person plural)",51,,"Verb, Verb",Tener
tienes,"tienes: ""have"", ""you have"" (Tener, present, 2nd person)",51,,"Verb, Verb",Tener
tendrá,"tendrá: ""will have"", ""he/she/it will have"" (Tener, future, 3rd person)",52,,"Verb, Verb",Tener
tendrán,"tendrán: ""will have"", ""they will have"" (Tener, future, 3rd person plural)",52,,"Verb, Verb",Tener
tendrás,"tendrás: ""will have"", ""you will have"" (Tener, future, 2nd person)",52,,"Verb, Verb",Tener
tendré,"tendré: ""will have"", ""I will have"" (Tener, future, 1st person)",52,,"Verb, Verb",Tener
tendremos,"tendremos: ""will have"", ""we will have"" (Tener, future, 1st person plural)",52,,"Verb, Verb",Tener
tenga,"tenga: ""have"", ""I have"" (Tener, subjunctive, 1st person)",52,,"Verb, Verb",Tener
tenga,"tenga: ""have"", ""he/she/it have"" (Tener, subjunctive, 3rd person)",52,,"Verb, Verb",Tener
tengamos,"tengamos: ""have"", ""we have"" (Tener, subjunctive, 1st person plural)",52,,"Verb, Verb",Tener
tengan,"tengan: ""have"", ""they have"" (Tener, subjunctive, 3rd person plural)",52,,"Verb, Verb",Tener
tengas,"tengas: ""have"", ""you have"" (Tener, subjunctive, 2nd person)",52,,"Verb, Verb",Tener
tenía,"tenía: ""had"", ""I had"" (Tener, imperfect, 1st person)",52,,"Verb, Verb",Tener
tenía,"tenía: ""had"", ""he/she/it had"" (Tener, imperfect, 3rd person)",52,,"Verb, Verb",Tener
teníamos,"teníamos: ""had"", ""we had"" (Tener, imperfect, 1st person plural)",52,,"Verb, Verb",Tener
tenían,"tenían: ""had"", ""they had"" (Tener, imperfect, 3rd person plural)",52,,"Verb, Verb",Tener
tenías,"tenías: ""had"", ""you had"" (Tener, imperfect, 2nd person)",52,,"Verb, Verb",Tener
